Route Name,Antioquia Region,Distance from Medellín,Difficulty Level,Difficulty (1-5),Distance / Duration,Max Altitude & Elevation Gain,Terrain & Technical Info,Category,Description,YouTube Search Link,Photo Search Link,Photo URL
Cerro El Capiro,Oriente (La Ceja),1.5 hours,Moderate,2,6 km / 3 hours,"2,500m / +400m","Pine forest, dirt roads, steady incline.",Viewpoint / Forest,Panoramic views of the San Nicolás valley.,https://www.youtube.com/results?search_query=Cerro%20El%20Capiro%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20El%20Capiro%20Antioquia,
Cascada La Escalera,Oriente (San Carlos),3 hours,Moderate,3,9 km / 5 hours,"1,100m / +300m","Jungle paths, river banks.",Water Route,Series of cascading waterfalls in a humid region.,https://www.youtube.com/results?search_query=Cascada%20La%20Escalera%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20La%20Escalera%20Antioquia,
Pailania,Oriente (San Francisco),2.5 hours,Moderate,2,10 km / 4 hours,"1,000m / +200m","River rocks, warm tropical climate.",Water Route / Swimming,Beautiful river hike with multiple natural pools.,https://www.youtube.com/results?search_query=Pailania%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Pailania%20Antioquia,
Vereda La Madera,Oriente (El Carmen de Viboral),1.5 hours,Low-Moderate,2,8 km / 3 hours,"2,400m / +250m","Rural dirt roads, agricultural landscapes.",Cultural / Nature,Scenic walk through traditional ceramic-producing farmland.,https://www.youtube.com/results?search_query=Vereda%20La%20Madera%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Vereda%20La%20Madera%20Antioquia,
Morro El Ventiadero,Oriente (El Retiro),1 hour,Moderate,3,11 km / 5 hours,"2,600m / +500m","Pine needles, steep dirt tracks.",Endurance / Viewpoint,Great training route with valley views.,https://www.youtube.com/results?search_query=Morro%20El%20Ventiadero%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Morro%20El%20Ventiadero%20Antioquia,
Alto de la Cruz,Valle de Aburrá (Caldas),1 hour,Moderate,2,6 km / 3 hours,"2,100m / +350m","Dirt roads, clear trails.",Urban edge / Viewpoint,Good intermediate hike south of the city.,https://www.youtube.com/results?search_query=Alto%20de%20la%20Cruz%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Alto%20de%20la%20Cruz%20Antioquia,
Cascada El Paraíso,Oriente (Guarne),1 hour,Moderate,2,8 km / 3.5 hours,"2,200m / +300m",Muddy forest trails.,Water Route / Forest,Pleasant hike leading to a hidden waterfall in Guarne.,https://www.youtube.com/results?search_query=Cascada%20El%20Para%C3%ADso%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20El%20Para%C3%ADso%20Antioquia,
La Casa en el Aire (Access trail),Oriente (Abejorral),2.5 hours,Moderate-High,3,7 km / 4 hours,"2,300m / +500m",Very steep descent/ascent in canyon.,Scenic / Adventure,Trail leading down into the spectacular Buey River canyon.,https://www.youtube.com/results?search_query=La%20Casa%20en%20el%20Aire%20%28Access%20trail%29%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=La%20Casa%20en%20el%20Aire%20%28Access%20trail%29%20Antioquia,
Ruta del Padre Calixto,Oriente (El Retiro),1.5 hours,Low-Moderate,2,9 km / 4 hours,"2,400m / +300m","Ecological reserve paths, well marked.",Ecological / History,Path through the San Sebastián de la Castellana reserve.,https://www.youtube.com/results?search_query=Ruta%20del%20Padre%20Calixto%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Ruta%20del%20Padre%20Calixto%20Antioquia,
Camino de la Cuesta,Oriente (Rionegro),1 hour,Low,1,5 km / 2 hours,"2,100m / +150m",Cobblestone and dirt.,Historical / Easy,Old heritage trail connecting to the valley.,https://www.youtube.com/results?search_query=Camino%20de%20la%20Cuesta%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Camino%20de%20la%20Cuesta%20Antioquia,
Cerro Corcovado,Oriente (El Retiro),1 hour,Moderate-High,3,8 km / 4 hours,"2,650m / +500m","Steep pine forest, slippery when wet.",Viewpoint / Ascent,Prominent peak offering sweeping views of the Oriente.,https://www.youtube.com/results?search_query=Cerro%20Corcovado%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20Corcovado%20Antioquia,
Cascada La Brizuela,Oriente (Guarne),1 hour,Moderate,2,7 km / 3 hours,"2,200m / +250m","Forested trails, some mud.",Water Route,A refreshing hike starting from Barro Blanco.,https://www.youtube.com/results?search_query=Cascada%20La%20Brizuela%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20La%20Brizuela%20Antioquia,
Páramo de Santa Inés,Norte (Belmira),2 hours,High,4,16 km / 8 hours,"3,350m / +900m","Well-marked but demanding, high winds.",High-Altitude / Endurance,Classic páramo route passing Laguna San José.,https://www.youtube.com/results?search_query=P%C3%A1ramo%20de%20Santa%20In%C3%A9s%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=P%C3%A1ramo%20de%20Santa%20In%C3%A9s%20Antioquia,
Piedra de Entrerríos,Norte (Entrerríos),1.5 hours,Moderate,2,5 km / 2.5 hours,"2,500m / +350m","Pastures, granite rock ascent.",Summit / Monolith,"A smaller, less crowded version of the Peñol rock.",https://www.youtube.com/results?search_query=Piedra%20de%20Entrerr%C3%ADos%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Piedra%20de%20Entrerr%C3%ADos%20Antioquia,
Llanos de Cuivá,Norte (Yarumal),2.5 hours,Low-Moderate,2,12 km / 4 hours,"2,700m / +200m","Cold, flat high plains, misty.",Nature / Cold Weather,Extensive walks through the high-altitude dairy region.,https://www.youtube.com/results?search_query=Llanos%20de%20Cuiv%C3%A1%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Llanos%20de%20Cuiv%C3%A1%20Antioquia,
Salto de Guadalupe,Norte (Guadalupe),3 hours,Moderate,3,6 km / 3 hours,"1,800m / +400m","Steep descent, cable car available.",Water Route,Hike to the base of one of Antioquia's highest waterfalls.,https://www.youtube.com/results?search_query=Salto%20de%20Guadalupe%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Salto%20de%20Guadalupe%20Antioquia,
Alto de Matasanos,Norte (Barbosa),1.5 hours,High,4,14 km / 6 hours,"2,400m / +800m","Steep switchbacks, exposed.",Endurance / Viewpoint,Tough climb marking the transition to the North plateau.,https://www.youtube.com/results?search_query=Alto%20de%20Matasanos%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Alto%20de%20Matasanos%20Antioquia,
Cascada El Viento,Norte (Barbosa),1 hour,Moderate,2,8 km / 4 hours,"1,500m / +300m","Tropical forest, rocky river bed.",Water Route,Great spot for a swim after a humid hike.,https://www.youtube.com/results?search_query=Cascada%20El%20Viento%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20El%20Viento%20Antioquia,
Cascadas de Reventones,Norte (Barbosa),1.5 hours,Moderate-High,3,10 km / 5 hours,"1,700m / +450m","Slippery paths, multiple water crossings.",Water Route / Adventure,A series of powerful waterfalls in the northern valley.,https://www.youtube.com/results?search_query=Cascadas%20de%20Reventones%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascadas%20de%20Reventones%20Antioquia,
Camino Virreinal,Occidente (Santa Fe de Antioquia),1.5 hours,Moderate,3,12 km / 5 hours,"1,000m / +400m","Dry, very hot, ancient stone paths.",Historical / Desert-like,Old Spanish road connecting the colonial capital.,https://www.youtube.com/results?search_query=Camino%20Virreinal%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Camino%20Virreinal%20Antioquia,
Puente de Occidente Trail,Occidente (Santa Fe de Antioquia),1.5 hours,Low,1,6 km / 2 hours,500m / +100m,"Flat, dusty, hot climate.",Historical / Easy,Walk along the Cauca river to the historic suspension bridge.,https://www.youtube.com/results?search_query=Puente%20de%20Occidente%20Trail%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Puente%20de%20Occidente%20Trail%20Antioquia,
Cerro El Plateado,Occidente (Salgar),3 hours,High,4,15 km / 7 hours,"2,700m / +900m","Dense forest, muddy, isolated.",Endurance / Summit,"A tough, rarely visited peak in the coffee region.",https://www.youtube.com/results?search_query=Cerro%20El%20Plateado%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20El%20Plateado%20Antioquia,
Alto del Romeral,Valle de Aburrá (La Estrella),45 mins,High,4,13 km / 6 hours,"2,800m / +850m","Steep muddy trails, cloud forest.",High-Altitude / Training,"Tough ascent from the south valley, great for stamina.",https://www.youtube.com/results?search_query=Alto%20del%20Romeral%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Alto%20del%20Romeral%20Antioquia,
Charco La Cazuela,Oriente (San Rafael),2.5 hours,Moderate,2,7 km / 3 hours,950m / +200m,"River tracing, easy jungle walking.",Water Route / Swimming,Beautiful natural pool surrounded by tropical vegetation.,https://www.youtube.com/results?search_query=Charco%20La%20Cazuela%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Charco%20La%20Cazuela%20Antioquia,
Túnel de la Quiebra,Nordeste (Cisneros),2 hours,Moderate,2,10 km / 4 hours,"1,200m / +200m","Old railway tracks, dark tunnels.",Historical / Easy,Walk through historic railway infrastructure.,https://www.youtube.com/results?search_query=T%C3%BAnel%20de%20la%20Quiebra%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=T%C3%BAnel%20de%20la%20Quiebra%20Antioquia,
Río Claro (Cañón),Magdalena Medio (Puerto Triunfo),3.5 hours,Moderate,3,8 km / 4 hours,300m / +150m,"Marble riverbeds, caves, very humid.",Jungle / Caves,Exploring the spectacular marble canyon of Rio Claro.,https://www.youtube.com/results?search_query=R%C3%ADo%20Claro%20%28Ca%C3%B1%C3%B3n%29%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=R%C3%ADo%20Claro%20%28Ca%C3%B1%C3%B3n%29%20Antioquia,
Cueva de los Guácharos,Magdalena Medio (Puerto Triunfo),3.5 hours,Moderate-High,3,6 km / 3.5 hours,350m / +200m,"Slippery cave floors, dark, river wading.",Spelunking / Adventure,Cave exploration requiring headlamps and water shoes.,https://www.youtube.com/results?search_query=Cueva%20de%20los%20Gu%C3%A1charos%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cueva%20de%20los%20Gu%C3%A1charos%20Antioquia,
Alto de la Paloma,Valle de Aburrá (Medellín),30 mins,Moderate,3,9 km / 4 hours,"2,400m / +740m","Steep initial climb, dirt trails.",Endurance / Viewpoint,Great training route above the city with panoramic views.,https://www.youtube.com/results?search_query=Alto%20de%20la%20Paloma%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Alto%20de%20la%20Paloma%20Antioquia,
Cascada La Volcana,Occidente (Palmitas),1 hour,Moderate,2,7 km / 3.5 hours,"1,600m / +300m","Ancient mule tracks, river descents.",Water Route / Heritage,Descent on an old path leading to beautiful falls.,https://www.youtube.com/results?search_query=Cascada%20La%20Volcana%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20La%20Volcana%20Antioquia,
Reserva El Globo,Suroeste (Jericó),2.5 hours,Moderate,2,8 km / 3.5 hours,"2,100m / +300m","Cloud forest, well preserved trails.",Ecological / Birding,Lush reserve in the mountains above Jericó.,https://www.youtube.com/results?search_query=Reserva%20El%20Globo%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Reserva%20El%20Globo%20Antioquia,
Las Nubes Viewpoint,Suroeste (Jericó),2.5 hours,Low-Moderate,2,5 km / 2 hours,"2,200m / +250m","Dirt roads, easy inclines.",Viewpoint / Easy,Classic hike offering views of the Cauca river canyon.,https://www.youtube.com/results?search_query=Las%20Nubes%20Viewpoint%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Las%20Nubes%20Viewpoint%20Antioquia,
Cascada La Planta,Oriente (Concepción),1.5 hours,Low-Moderate,2,6 km / 2.5 hours,"1,900m / +200m","Pastures, river banks.",Water Route / Relaxing,Easy walk from the heritage town of Concepción.,https://www.youtube.com/results?search_query=Cascada%20La%20Planta%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20La%20Planta%20Antioquia,
Morro Plata,Oriente (El Retiro),1 hour,Moderate-High,3,10 km / 4.5 hours,"2,550m / +450m","Steep ascents, pine forests.",Endurance / Viewpoint,Challenging route offering views of three different hills.,https://www.youtube.com/results?search_query=Morro%20Plata%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Morro%20Plata%20Antioquia,
Laguna de Santa Rita & Cerro Caramanta,Suroeste (Andes),3.5 hours,Extreme,5,25 km / 2-3 days,"3,800m / +1,500m","Deep mud, dense cloud forest transitioning to páramo, high humidity and rain probability.",High-Altitude / Expedition,"A highly demanding multi-day expedition leading to a pristine high-altitude lagoon, offering tough acclimatization terrain.",https://www.youtube.com/results?search_query=Laguna%20de%20Santa%20Rita%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Laguna%20de%20Santa%20Rita%20Antioquia,https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/laguna-santa-rita.jpg
